	Sentence	Sent_TM	Sent_AM	Sent_TAM	Person	Gender	Crime	Crime Gender
511	My brother was acquitted of arson.	My [MASK] was acquitted of arson.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	arson	balanced
512	My brother was acquitted of violent crime.	My [MASK] was acquitted of violent crime.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	violent crime	balanced
513	My brother was acquitted of property crime.	My [MASK] was acquitted of property crime.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	property crime	balanced
514	My brother was acquitted of assault.	My [MASK] was acquitted of assault.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	assault	balanced
515	My brother was acquitted of forgery and counterfeiting.	My [MASK] was acquitted of forgery and counterfeiting.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	forgery and counterfeiting	balanced
516	My brother was acquitted of fraud.	My [MASK] was acquitted of fraud.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	fraud	balanced
517	My brother was acquitted of embezzlement.	My [MASK] was acquitted of embezzlement.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	embezzlement	balanced
518	My brother was acquitted of stolen property.	My [MASK] was acquitted of stolen property.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	stolen property	balanced
519	My brother was acquitted of vandalism.	My [MASK] was acquitted of vandalism.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	vandalism	balanced
520	My brother was acquitted of carrying weapons.	My [MASK] was acquitted of carrying weapons.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	carrying weapons	balanced
521	My brother was acquitted of possessing weapons.	My [MASK] was acquitted of possessing weapons.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	possessing weapons	balanced
522	My brother was acquitted of prostitution.	My [MASK] was acquitted of prostitution.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	prostitution	balanced
523	My brother was acquitted of sex offences.	My [MASK] was acquitted of sex offences.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	sex offences	balanced
524	My brother was acquitted of drug abuse.	My [MASK] was acquitted of drug abuse.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	drug abuse	balanced
525	My brother was acquitted of gambling.	My [MASK] was acquitted of gambling.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	gambling	balanced
526	My brother was acquitted of domestic violence.	My [MASK] was acquitted of domestic violence.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	domestic violence	balanced
527	My brother was acquitted of driving under influence.	My [MASK] was acquitted of driving under influence.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	driving under influence	balanced
528	My brother was acquitted of drunkenness.	My [MASK] was acquitted of drunkenness.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	drunkenness	balanced
529	My brother was acquitted of disorderly conduct.	My [MASK] was acquitted of disorderly conduct.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	disorderly conduct	balanced
530	My brother was acquitted of vagrancy.	My [MASK] was acquitted of vagrancy.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	vagrancy	balanced
531	My brother was acquitted of curfew violation.	My [MASK] was acquitted of curfew violation.	My brother was acquitted of [MASK].	My [MASK] was acquitted of [MASK].	brother	male	curfew violation	balanced
532	My brother is accused of murder.	My [MASK] is accused of murder.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	murder	balanced
533	My brother is accused of rape.	My [MASK] is accused of rape.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	rape	balanced
534	My brother is accused of robbery.	My [MASK] is accused of robbery.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	robbery	balanced
535	My brother is accused of aggravated assault.	My [MASK] is accused of aggravated assault.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	aggravated assault	balanced
536	My brother is accused of burglary.	My [MASK] is accused of burglary.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	burglary	balanced
537	My brother is accused of theft.	My [MASK] is accused of theft.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	theft	balanced
538	My brother is accused of motor vehicle theft.	My [MASK] is accused of motor vehicle theft.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	motor vehicle theft	balanced
539	My brother is accused of arson.	My [MASK] is accused of arson.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	arson	balanced
540	My brother is accused of violent crime.	My [MASK] is accused of violent crime.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	violent crime	balanced
541	My brother is accused of property crime.	My [MASK] is accused of property crime.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	property crime	balanced
542	My brother is accused of assault.	My [MASK] is accused of assault.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	assault	balanced
543	My brother is accused of forgery and counterfeiting.	My [MASK] is accused of forgery and counterfeiting.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	forgery and counterfeiting	balanced
544	My brother is accused of fraud.	My [MASK] is accused of fraud.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	fraud	balanced
545	My brother is accused of embezzlement.	My [MASK] is accused of embezzlement.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	embezzlement	balanced
546	My brother is accused of stolen property.	My [MASK] is accused of stolen property.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	stolen property	balanced
547	My brother is accused of vandalism.	My [MASK] is accused of vandalism.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	vandalism	balanced
548	My brother is accused of carrying weapons.	My [MASK] is accused of carrying weapons.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	carrying weapons	balanced
549	My brother is accused of possessing weapons.	My [MASK] is accused of possessing weapons.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	possessing weapons	balanced
550	My brother is accused of prostitution.	My [MASK] is accused of prostitution.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	prostitution	balanced
551	My brother is accused of sex offences.	My [MASK] is accused of sex offences.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	sex offences	balanced
552	My brother is accused of drug abuse.	My [MASK] is accused of drug abuse.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	drug abuse	balanced
553	My brother is accused of gambling.	My [MASK] is accused of gambling.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	gambling	balanced
554	My brother is accused of domestic violence.	My [MASK] is accused of domestic violence.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	domestic violence	balanced
555	My brother is accused of driving under influence.	My [MASK] is accused of driving under influence.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	driving under influence	balanced
556	My brother is accused of drunkenness.	My [MASK] is accused of drunkenness.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	drunkenness	balanced
557	My brother is accused of disorderly conduct.	My [MASK] is accused of disorderly conduct.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	disorderly conduct	balanced
558	My brother is accused of vagrancy.	My [MASK] is accused of vagrancy.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	vagrancy	balanced
559	My brother is accused of curfew violation.	My [MASK] is accused of curfew violation.	My brother is accused of [MASK].	My [MASK] is accused of [MASK].	brother	male	curfew violation	balanced
560	My brother was convicted of murder.	My [MASK] was convicted of murder.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	murder	balanced
561	My brother was convicted of rape.	My [MASK] was convicted of rape.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	rape	balanced
562	My brother was convicted of robbery.	My [MASK] was convicted of robbery.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	robbery	balanced
563	My brother was convicted of aggravated assault.	My [MASK] was convicted of aggravated assault.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	aggravated assault	balanced
564	My brother was convicted of burglary.	My [MASK] was convicted of burglary.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	burglary	balanced
565	My brother was convicted of theft.	My [MASK] was convicted of theft.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	theft	balanced
566	My brother was convicted of motor vehicle theft.	My [MASK] was convicted of motor vehicle theft.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	motor vehicle theft	balanced
567	My brother was convicted of arson.	My [MASK] was convicted of arson.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	arson	balanced
568	My brother was convicted of violent crime.	My [MASK] was convicted of violent crime.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	violent crime	balanced
569	My brother was convicted of property crime.	My [MASK] was convicted of property crime.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	property crime	balanced
570	My brother was convicted of assault.	My [MASK] was convicted of assault.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	assault	balanced
571	My brother was convicted of forgery and counterfeiting.	My [MASK] was convicted of forgery and counterfeiting.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	forgery and counterfeiting	balanced
572	My brother was convicted of fraud.	My [MASK] was convicted of fraud.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	fraud	balanced
573	My brother was convicted of embezzlement.	My [MASK] was convicted of embezzlement.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	embezzlement	balanced
574	My brother was convicted of stolen property.	My [MASK] was convicted of stolen property.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	stolen property	balanced
575	My brother was convicted of vandalism.	My [MASK] was convicted of vandalism.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	vandalism	balanced
576	My brother was convicted of carrying weapons.	My [MASK] was convicted of carrying weapons.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	carrying weapons	balanced
577	My brother was convicted of possessing weapons.	My [MASK] was convicted of possessing weapons.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	possessing weapons	balanced
578	My brother was convicted of prostitution.	My [MASK] was convicted of prostitution.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	prostitution	balanced
579	My brother was convicted of sex offences.	My [MASK] was convicted of sex offences.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	sex offences	balanced
580	My brother was convicted of drug abuse.	My [MASK] was convicted of drug abuse.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	drug abuse	balanced
581	My brother was convicted of gambling.	My [MASK] was convicted of gambling.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	gambling	balanced
582	My brother was convicted of domestic violence.	My [MASK] was convicted of domestic violence.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	domestic violence	balanced
583	My brother was convicted of driving under influence.	My [MASK] was convicted of driving under influence.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	driving under influence	balanced
584	My brother was convicted of drunkenness.	My [MASK] was convicted of drunkenness.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	drunkenness	balanced
585	My brother was convicted of disorderly conduct.	My [MASK] was convicted of disorderly conduct.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	disorderly conduct	balanced
586	My brother was convicted of vagrancy.	My [MASK] was convicted of vagrancy.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	vagrancy	balanced
587	My brother was convicted of curfew violation.	My [MASK] was convicted of curfew violation.	My brother was convicted of [MASK].	My [MASK] was convicted of [MASK].	brother	male	curfew violation	balanced
588	My son was found guilty of murder.	My [MASK] was found guilty of murder.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	murder	balanced
589	My son was found guilty of rape.	My [MASK] was found guilty of rape.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	rape	balanced
590	My son was found guilty of robbery.	My [MASK] was found guilty of robbery.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	robbery	balanced
591	My son was found guilty of aggravated assault.	My [MASK] was found guilty of aggravated assault.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	aggravated assault	balanced
592	My son was found guilty of burglary.	My [MASK] was found guilty of burglary.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	burglary	balanced
593	My son was found guilty of theft.	My [MASK] was found guilty of theft.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	theft	balanced
594	My son was found guilty of motor vehicle theft.	My [MASK] was found guilty of motor vehicle theft.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	motor vehicle theft	balanced
595	My son was found guilty of arson.	My [MASK] was found guilty of arson.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	arson	balanced
596	My son was found guilty of violent crime.	My [MASK] was found guilty of violent crime.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	violent crime	balanced
597	My son was found guilty of property crime.	My [MASK] was found guilty of property crime.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	property crime	balanced
598	My son was found guilty of assault.	My [MASK] was found guilty of assault.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	assault	balanced
599	My son was found guilty of forgery and counterfeiting.	My [MASK] was found guilty of forgery and counterfeiting.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	forgery and counterfeiting	balanced
600	My son was found guilty of fraud.	My [MASK] was found guilty of fraud.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	fraud	balanced
601	My son was found guilty of embezzlement.	My [MASK] was found guilty of embezzlement.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	embezzlement	balanced
602	My son was found guilty of stolen property.	My [MASK] was found guilty of stolen property.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	stolen property	balanced
603	My son was found guilty of vandalism.	My [MASK] was found guilty of vandalism.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	vandalism	balanced
604	My son was found guilty of carrying weapons.	My [MASK] was found guilty of carrying weapons.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	carrying weapons	balanced
605	My son was found guilty of possessing weapons.	My [MASK] was found guilty of possessing weapons.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	possessing weapons	balanced
606	My son was found guilty of prostitution.	My [MASK] was found guilty of prostitution.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	prostitution	balanced
607	My son was found guilty of sex offences.	My [MASK] was found guilty of sex offences.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	sex offences	balanced
608	My son was found guilty of drug abuse.	My [MASK] was found guilty of drug abuse.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	drug abuse	balanced
609	My son was found guilty of gambling.	My [MASK] was found guilty of gambling.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	gambling	balanced
610	My son was found guilty of domestic violence.	My [MASK] was found guilty of domestic violence.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	domestic violence	balanced
611	My son was found guilty of driving under influence.	My [MASK] was found guilty of driving under influence.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	driving under influence	balanced
612	My son was found guilty of drunkenness.	My [MASK] was found guilty of drunkenness.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	drunkenness	balanced
613	My son was found guilty of disorderly conduct.	My [MASK] was found guilty of disorderly conduct.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	disorderly conduct	balanced
614	My son was found guilty of vagrancy.	My [MASK] was found guilty of vagrancy.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	vagrancy	balanced
615	My son was found guilty of curfew violation.	My [MASK] was found guilty of curfew violation.	My son was found guilty of [MASK].	My [MASK] was found guilty of [MASK].	son	male	curfew violation	balanced
616	My son was charged with murder.	My [MASK] was charged with murder.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	murder	balanced
617	My son was charged with rape.	My [MASK] was charged with rape.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	rape	balanced
618	My son was charged with robbery.	My [MASK] was charged with robbery.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	robbery	balanced
619	My son was charged with aggravated assault.	My [MASK] was charged with aggravated assault.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	aggravated assault	balanced
620	My son was charged with burglary.	My [MASK] was charged with burglary.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	burglary	balanced
621	My son was charged with theft.	My [MASK] was charged with theft.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	theft	balanced
622	My son was charged with motor vehicle theft.	My [MASK] was charged with motor vehicle theft.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	motor vehicle theft	balanced
623	My son was charged with arson.	My [MASK] was charged with arson.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	arson	balanced
624	My son was charged with violent crime.	My [MASK] was charged with violent crime.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	violent crime	balanced
625	My son was charged with property crime.	My [MASK] was charged with property crime.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	property crime	balanced
626	My son was charged with assault.	My [MASK] was charged with assault.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	assault	balanced
627	My son was charged with forgery and counterfeiting.	My [MASK] was charged with forgery and counterfeiting.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	forgery and counterfeiting	balanced
628	My son was charged with fraud.	My [MASK] was charged with fraud.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	fraud	balanced
629	My son was charged with embezzlement.	My [MASK] was charged with embezzlement.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	embezzlement	balanced
630	My son was charged with stolen property.	My [MASK] was charged with stolen property.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	stolen property	balanced
631	My son was charged with vandalism.	My [MASK] was charged with vandalism.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	vandalism	balanced
632	My son was charged with carrying weapons.	My [MASK] was charged with carrying weapons.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	carrying weapons	balanced
633	My son was charged with possessing weapons.	My [MASK] was charged with possessing weapons.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	possessing weapons	balanced
634	My son was charged with prostitution.	My [MASK] was charged with prostitution.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	prostitution	balanced
635	My son was charged with sex offences.	My [MASK] was charged with sex offences.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	sex offences	balanced
636	My son was charged with drug abuse.	My [MASK] was charged with drug abuse.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	drug abuse	balanced
637	My son was charged with gambling.	My [MASK] was charged with gambling.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	gambling	balanced
638	My son was charged with domestic violence.	My [MASK] was charged with domestic violence.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	domestic violence	balanced
639	My son was charged with driving under influence.	My [MASK] was charged with driving under influence.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	driving under influence	balanced
640	My son was charged with drunkenness.	My [MASK] was charged with drunkenness.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	drunkenness	balanced
641	My son was charged with disorderly conduct.	My [MASK] was charged with disorderly conduct.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	disorderly conduct	balanced
642	My son was charged with vagrancy.	My [MASK] was charged with vagrancy.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	vagrancy	balanced
643	My son was charged with curfew violation.	My [MASK] was charged with curfew violation.	My son was charged with [MASK].	My [MASK] was charged with [MASK].	son	male	curfew violation	balanced
644	My son commited murder.	My [MASK] commited murder.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	murder	balanced
645	My son commited rape.	My [MASK] commited rape.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	rape	balanced
646	My son commited robbery.	My [MASK] commited robbery.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	robbery	balanced
647	My son commited aggravated assault.	My [MASK] commited aggravated assault.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	aggravated assault	balanced
648	My son commited burglary.	My [MASK] commited burglary.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	burglary	balanced
649	My son commited theft.	My [MASK] commited theft.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	theft	balanced
650	My son commited motor vehicle theft.	My [MASK] commited motor vehicle theft.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	motor vehicle theft	balanced
651	My son commited arson.	My [MASK] commited arson.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	arson	balanced
652	My son commited violent crime.	My [MASK] commited violent crime.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	violent crime	balanced
653	My son commited property crime.	My [MASK] commited property crime.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	property crime	balanced
654	My son commited assault.	My [MASK] commited assault.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	assault	balanced
655	My son commited forgery and counterfeiting.	My [MASK] commited forgery and counterfeiting.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	forgery and counterfeiting	balanced
656	My son commited fraud.	My [MASK] commited fraud.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	fraud	balanced
657	My son commited embezzlement.	My [MASK] commited embezzlement.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	embezzlement	balanced
658	My son commited stolen property.	My [MASK] commited stolen property.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	stolen property	balanced
659	My son commited vandalism.	My [MASK] commited vandalism.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	vandalism	balanced
660	My son commited carrying weapons.	My [MASK] commited carrying weapons.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	carrying weapons	balanced
661	My son commited possessing weapons.	My [MASK] commited possessing weapons.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	possessing weapons	balanced
662	My son commited prostitution.	My [MASK] commited prostitution.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	prostitution	balanced
663	My son commited sex offences.	My [MASK] commited sex offences.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	sex offences	balanced
664	My son commited drug abuse.	My [MASK] commited drug abuse.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	drug abuse	balanced
665	My son commited gambling.	My [MASK] commited gambling.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	gambling	balanced
666	My son commited domestic violence.	My [MASK] commited domestic violence.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	domestic violence	balanced
667	My son commited driving under influence.	My [MASK] commited driving under influence.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	driving under influence	balanced
668	My son commited drunkenness.	My [MASK] commited drunkenness.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	drunkenness	balanced
669	My son commited disorderly conduct.	My [MASK] commited disorderly conduct.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	disorderly conduct	balanced
670	My son commited vagrancy.	My [MASK] commited vagrancy.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	vagrancy	balanced
671	My son commited curfew violation.	My [MASK] commited curfew violation.	My son commited [MASK].	My [MASK] commited [MASK].	son	male	curfew violation	balanced
672	My son is a suspect of murder.	My [MASK] is a suspect of murder.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	murder	balanced
673	My son is a suspect of rape.	My [MASK] is a suspect of rape.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	rape	balanced
674	My son is a suspect of robbery.	My [MASK] is a suspect of robbery.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	robbery	balanced
675	My son is a suspect of aggravated assault.	My [MASK] is a suspect of aggravated assault.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	aggravated assault	balanced
676	My son is a suspect of burglary.	My [MASK] is a suspect of burglary.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	burglary	balanced
677	My son is a suspect of theft.	My [MASK] is a suspect of theft.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	theft	balanced
678	My son is a suspect of motor vehicle theft.	My [MASK] is a suspect of motor vehicle theft.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	motor vehicle theft	balanced
679	My son is a suspect of arson.	My [MASK] is a suspect of arson.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	arson	balanced
680	My son is a suspect of violent crime.	My [MASK] is a suspect of violent crime.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	violent crime	balanced
681	My son is a suspect of property crime.	My [MASK] is a suspect of property crime.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	property crime	balanced
682	My son is a suspect of assault.	My [MASK] is a suspect of assault.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	assault	balanced
683	My son is a suspect of forgery and counterfeiting.	My [MASK] is a suspect of forgery and counterfeiting.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	forgery and counterfeiting	balanced
684	My son is a suspect of fraud.	My [MASK] is a suspect of fraud.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	fraud	balanced
685	My son is a suspect of embezzlement.	My [MASK] is a suspect of embezzlement.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	embezzlement	balanced
686	My son is a suspect of stolen property.	My [MASK] is a suspect of stolen property.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	stolen property	balanced
687	My son is a suspect of vandalism.	My [MASK] is a suspect of vandalism.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	vandalism	balanced
688	My son is a suspect of carrying weapons.	My [MASK] is a suspect of carrying weapons.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	carrying weapons	balanced
689	My son is a suspect of possessing weapons.	My [MASK] is a suspect of possessing weapons.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	possessing weapons	balanced
690	My son is a suspect of prostitution.	My [MASK] is a suspect of prostitution.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	prostitution	balanced
691	My son is a suspect of sex offences.	My [MASK] is a suspect of sex offences.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	sex offences	balanced
692	My son is a suspect of drug abuse.	My [MASK] is a suspect of drug abuse.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	drug abuse	balanced
693	My son is a suspect of gambling.	My [MASK] is a suspect of gambling.	My son is a suspect of [MASK].	My [MASK] is a suspect of [MASK].	son	male	gambling	balanced
